X,Y,DC,ISI,month,day,FFMC,DMC,temp,RH,wind,rain,area,quarter
1,2,529.8,12.5,8,5,90.1,108.0,14.7,66,2.7,0.0,0.0,3
1,2,561.6,7.0,8,2,91.0,121.2,21.6,19,6.7,0.0,0.0,3
1,2,601.4,10.6,8,7,91.4,142.4,19.5,39,6.3,0.0,0.0,3
1,2,631.2,6.3,8,7,90.2,99.6,17.9,44,2.2,0.0,0.0,3
1,2,647.1,17.0,8,2,94.8,108.3,18.6,51,4.5,0.0,0.0,3
1,2,654.1,9.6,8,3,92.1,111.2,16.6,47,0.9,0.0,0.0,3
1,2,661.3,6.3,8,4,91.7,114.3,20.2,45,3.6,0.0,0.0,3
1,2,706.4,9.2,9,4,92.9,137.0,21.5,15,0.9,0.0,0.0,3
1,2,706.4,9.2,9,4,92.9,137.0,25.4,27,2.2,0.0,0.0,3
1,2,706.4,9.2,9,4,92.9,137.0,22.4,34,2.2,0.0,0.0,3
1,2,728.6,8.1,9,7,93.5,149.3,25.3,36,3.6,0.0,0.0,3
1,2,513.3,13.2,8,3,95.5,99.9,23.3,31,4.5,0.0,0.55,3
1,2,296.3,8.7,7,6,90.0,51.3,16.6,53,5.4,0.0,0.71,3
1,2,692.6,7.0,9,2,91.0,129.5,18.8,40,2.2,0.0,212.88,3
1,2,715.1,8.4,8,6,93.7,231.1,25.9,32,3.1,0.0,0.0,3
1,2,368.3,16.8,7,5,90.7,80.9,14.8,78,8.0,0.0,0.0,3
1,2,744.4,10.1,8,4,91.0,163.2,26.7,35,1.8,0.0,5.8,3
1,2,752.6,7.1,8,5,91.0,166.9,18.5,73,8.5,0.0,0.0,3
1,2,752.6,7.1,8,5,91.0,166.9,25.9,41,3.6,0.0,0.0,3
1,3,103.8,5.0,3,1,87.6,52.2,8.3,72,3.1,0.0,0.0,1
1,3,680.7,8.5,9,7,92.4,124.1,23.9,32,6.7,0.0,5.33,3
1,3,709.9,7.1,9,1,88.6,91.8,12.4,73,6.3,0.0,30.32,3
1,3,825.1,7.1,9,7,91.0,276.3,21.9,43,4.0,0.0,70.76,3
1,3,744.4,8.4,9,6,91.2,94.3,22.3,48,4.0,0.0,0.72,3
1,3,698.6,13.9,8,4,94.8,222.4,26.2,34,5.8,0.0,0.0,3
1,3,605.3,9.6,8,6,92.1,178.0,23.3,40,4.0,0.0,6.36,3
1,3,738.1,7.2,9,5,91.1,91.3,19.1,46,2.2,0.0,0.33,3
1,3,633.6,11.3,8,5,95.9,158.0,32.4,27,2.2,0.0,0.0,3
1,3,633.6,11.3,8,5,95.9,158.0,27.5,29,4.5,0.0,43.32,3
1,4,692.6,7.0,9,2,91.0,129.5,21.7,38,2.2,0.0,0.43,3
1,4,624.2,8.9,8,6,90.2,96.9,14.2,53,1.8,0.0,3.5,3
1,4,624.2,8.9,8,6,90.2,96.9,20.3,39,4.9,0.0,4.53,3
1,4,714.3,5.7,9,7,89.6,84.1,19.0,52,2.2,0.0,0.0,3
1,4,783.5,7.5,9,4,92.8,119.0,16.8,28,4.0,0.0,7.21,3
1,4,751.5,8.4,9,6,92.2,102.3,24.2,27,3.1,0.0,0.0,3
1,4,721.1,9.5,9,1,92.1,87.7,18.1,54,3.1,0.0,2.13,3
1,4,807.1,7.5,9,1,91.5,130.1,21.3,35,2.2,0.0,28.19,3
1,4,789.7,10.2,9,5,92.5,122.0,21.1,39,2.2,0.0,8.12,3
1,4,450.2,12.1,7,2,92.3,96.2,23.4,31,5.4,0.0,0.0,3
1,4,811.2,5.5,8,5,90.6,269.8,22.2,45,3.6,0.0,0.0,3
1,4,649.9,16.3,8,5,90.5,196.8,11.8,88,4.9,0.0,9.71,3
1,4,635.9,7.8,8,3,91.7,191.4,19.9,50,4.0,0.0,82.75,3
1,4,825.1,7.1,9,7,91.0,276.3,14.5,76,7.6,0.0,3.71,3
1,4,614.7,11.3,8,6,94.4,146.0,25.6,42,4.0,0.0,0.0,3
1,5,721.4,8.1,9,6,93.4,145.4,29.6,27,2.7,0.0,1.46,3
1,5,686.5,7.0,9,1,90.9,126.5,21.0,42,2.2,0.0,7.3,3
1,5,692.6,7.0,9,2,91.0,129.5,21.6,33,2.2,0.0,11.53,3
1,5,728.6,8.1,9,7,93.5,149.3,27.8,27,3.1,0.0,95.18,3
2,2,34.0,2.1,2,1,84.0,9.3,13.9,40,5.4,0.0,0.0,1
2,2,43.0,5.3,2,5,86.6,13.2,12.3,51,0.9,0.0,0.0,1
2,2,102.2,9.6,3,7,89.3,51.3,11.5,39,5.8,0.0,0.0,1
2,2,102.2,9.6,3,7,89.3,51.3,5.5,59,6.3,0.0,0.0,1
2,2,466.6,7.7,8,4,93.0,75.3,18.8,35,4.9,0.0,0.0,3
2,2,631.2,6.3,8,7,90.2,99.6,20.8,33,2.7,0.0,0.0,3
2,2,638.8,5.8,8,1,91.1,103.2,23.1,31,3.1,0.0,0.0,3
2,2,661.3,6.3,8,4,91.7,114.3,18.6,44,4.5,0.0,0.0,3
2,2,668.0,12.2,9,5,92.4,117.9,23.0,37,4.5,0.0,0.0,3
2,2,668.0,12.2,9,5,92.4,117.9,19.6,33,5.4,0.0,0.0,3
2,2,668.0,12.2,9,5,92.4,117.9,19.6,33,6.3,0.0,0.0,3
2,2,647.1,17.0,8,2,94.8,108.3,17.4,43,6.7,0.0,1.07,3
2,2,654.1,9.6,8,3,92.1,111.2,18.4,45,3.6,0.0,1.63,3
2,2,647.1,17.0,8,2,94.8,108.3,24.6,22,4.5,0.0,8.71,3
2,2,647.1,17.0,8,2,94.8,108.3,24.6,22,4.5,0.0,10.01,3
2,2,594.2,20.3,8,6,93.5,139.4,22.9,31,7.2,0.0,15.45,3
2,2,309.9,6.8,7,5,88.3,150.3,13.4,79,3.6,0.0,37.02,3
2,2,674.4,8.6,9,6,92.5,121.1,18.2,46,1.8,0.0,200.94,3
2,2,658.2,14.3,8,2,92.1,152.6,23.7,24,3.1,0.0,0.0,3
2,2,658.2,14.3,8,2,92.1,152.6,21.8,56,3.1,0.0,0.52,3
2,2,807.1,7.5,9,1,91.5,130.1,16.8,43,3.1,0.0,5.83,3
2,2,715.1,8.4,8,6,93.7,231.1,21.9,42,2.2,0.0,174.63,3
2,2,680.9,9.5,8,2,94.6,212.1,27.9,27,2.2,0.0,0.0,3
2,2,753.8,6.3,8,4,91.6,248.4,20.4,56,2.2,0.0,0.0,3
2,2,15.3,1.8,2,6,79.5,3.6,4.6,59,0.9,0.0,6.84,1
2,3,764.0,6.2,9,1,91.6,108.4,18.0,51,5.4,0.0,0.0,3
2,4,647.1,17.0,8,2,94.8,108.3,20.1,40,4.0,0.0,0.0,3
2,4,674.4,8.6,9,6,92.5,121.1,24.1,29,4.5,0.0,0.0,3
2,4,9.3,2.9,1,6,82.1,3.7,5.3,78,3.1,0.0,0.0,1
2,4,721.4,8.1,9,6,93.4,145.4,28.6,27,2.2,0.0,1.61,3
2,4,654.1,9.6,8,3,92.1,111.2,20.5,35,4.0,0.0,1.64,3
2,4,665.3,0.8,9,1,63.5,70.8,22.6,38,3.6,0.0,11.32,3
2,4,589.9,12.9,8,7,94.2,122.3,15.4,66,4.0,0.0,10.13,3
2,4,700.7,13.8,8,7,91.8,175.1,22.4,54,7.6,0.0,2.87,3
2,4,503.6,9.6,8,3,92.2,91.6,20.7,70,2.2,0.0,0.75,3
2,4,542.0,14.4,8,1,93.6,97.9,28.3,32,4.0,0.0,8.85,3
2,4,573.0,8.9,8,5,91.6,112.4,21.4,42,3.1,0.0,4.25,3
2,4,758.1,9.9,9,7,92.4,105.8,16.0,45,1.8,0.0,0.0,3
2,4,758.1,9.9,9,7,92.4,105.8,24.9,27,2.2,0.0,0.0,3
2,4,706.6,0.4,9,7,50.4,46.2,12.2,78,6.3,0.0,0.0,3
2,4,764.0,6.2,9,1,91.6,108.4,20.4,41,1.8,0.0,1.47,3
2,4,613.0,7.6,8,7,91.6,181.3,20.9,50,2.2,0.0,16.0,3
2,4,25.6,11.4,3,2,93.4,15.0,15.2,19,7.6,0.0,0.0,1
2,4,725.1,3.7,9,3,87.9,84.8,21.8,34,2.2,0.0,6.04,3
2,4,664.5,8.1,8,7,92.0,203.2,24.9,42,5.4,0.0,2.44,3
2,4,690.0,18.0,8,3,95.2,217.7,30.8,19,4.5,0.0,0.0,3
2,4,672.6,8.2,8,1,92.1,207.0,27.9,33,2.2,0.0,2.35,3
2,4,723.1,10.1,8,7,93.6,235.1,20.9,66,4.9,0.0,15.34,3
2,4,753.8,6.3,8,4,91.6,248.4,16.6,59,2.7,0.0,0.0,3
2,4,596.3,21.3,8,1,95.0,135.5,30.6,28,3.6,0.0,2.07,3
2,4,689.1,20.0,8,3,94.5,139.4,29.2,30,4.9,0.0,1.95,3
2,4,752.6,7.1,8,5,91.0,166.9,25.9,41,3.6,0.0,0.0,3
2,4,665.6,1.9,8,7,81.6,56.7,21.9,71,5.8,0.0,54.29,3
2,5,691.8,8.8,10,7,92.6,46.5,15.4,35,0.9,0.0,0.0,4
2,5,686.5,7.0,9,1,90.9,126.5,21.9,39,1.8,0.0,0.47,3
2,5,513.3,13.2,8,3,95.5,99.9,23.8,32,5.4,0.0,0.77,3
2,5,631.2,6.3,8,7,90.2,99.6,19.2,44,2.7,0.0,4.69,3
2,5,735.7,6.2,9,3,90.1,82.9,18.3,45,2.2,0.0,4.88,3
2,5,692.6,7.0,9,2,91.0,129.5,17.6,46,3.1,0.0,7.04,3
2,5,578.8,10.4,8,4,95.2,131.7,24.2,28,2.7,0.0,8.68,3
2,5,586.7,15.1,8,5,93.9,135.7,23.5,36,5.4,0.0,10.02,3
2,5,694.8,5.0,8,4,87.5,77.0,22.3,46,4.0,0.0,0.0,3
2,5,658.2,14.3,8,2,92.1,152.6,20.2,47,4.0,0.0,3.09,3
2,5,411.8,12.3,7,7,93.9,169.7,23.4,40,6.3,0.0,0.0,3
2,5,474.9,9.0,7,6,91.6,104.2,18.7,53,1.8,0.0,0.0,3
2,5,764.0,6.2,9,1,91.6,108.4,19.3,44,2.2,0.0,3.93,3
2,5,613.0,7.6,8,7,91.6,181.3,24.8,36,4.0,0.0,3.05,3
2,5,376.6,5.6,7,6,90.8,84.7,23.8,51,1.8,0.0,0.0,3
2,5,715.1,8.4,8,6,93.7,231.1,23.6,53,4.0,0.0,6.43,3
2,5,855.3,7.4,9,5,90.3,290.0,16.2,58,3.6,0.0,9.96,3
2,5,715.1,8.4,8,6,93.7,231.1,18.9,64,4.9,0.0,0.0,3
2,5,350.2,18.0,6,4,93.7,121.7,22.7,40,9.4,0.0,3.19,2
2,5,587.1,14.1,8,7,94.9,130.3,33.1,25,4.0,0.0,26.43,3
3,3,751.5,8.4,9,6,92.2,102.3,24.2,27,3.1,0.0,6.58,3
3,4,30.2,2.6,2,6,83.9,8.0,12.7,48,1.8,0.0,0.0,1
3,4,15.5,0.7,3,6,69.0,2.4,17.4,24,5.4,0.0,0.0,1
3,4,601.4,10.6,8,7,91.4,142.4,11.6,87,4.5,0.0,0.0,3
3,4,601.4,10.6,8,7,91.4,142.4,19.8,39,5.4,0.0,0.0,3
3,4,601.4,10.6,8,7,91.4,142.4,19.8,39,5.4,0.0,0.0,3
3,4,614.5,9.0,8,2,88.8,147.3,14.4,66,5.4,0.0,0.0,3
3,4,77.5,9.0,3,5,91.7,33.3,18.8,18,4.5,0.0,0.0,1
3,4,704.4,4.8,9,7,89.7,90.0,22.8,39,3.6,0.0,0.0,3
3,4,724.3,9.2,9,1,91.8,78.5,18.9,35,2.7,0.0,0.0,3
3,4,67.6,3.8,3,2,88.1,25.7,15.8,27,7.6,0.0,0.0,1
3,4,80.8,7.8,3,6,91.7,35.8,11.6,30,6.3,0.0,0.0,1
3,4,80.8,7.8,3,6,91.7,35.8,15.2,27,4.9,0.0,0.0,1
3,4,86.6,6.2,3,1,90.1,39.7,10.6,30,4.0,0.0,0.0,1
3,4,466.6,7.7,8,4,93.0,75.3,19.6,36,3.1,0.0,0.0,3
3,4,608.2,10.7,8,1,91.5,145.4,10.3,74,2.2,0.0,0.0,3
3,4,608.2,10.7,8,1,91.5,145.4,17.1,43,5.4,0.0,0.0,3
3,4,680.7,8.5,9,7,92.4,124.1,22.5,42,5.4,0.0,0.0,3
3,4,671.9,3.2,9,2,84.4,73.4,17.9,45,3.1,0.0,0.0,3
3,4,692.3,15.9,9,5,94.3,85.1,19.8,50,5.4,0.0,0.0,3
3,4,691.8,8.8,10,7,92.6,46.5,20.6,24,5.4,0.0,0.0,4
3,4,424.1,6.2,7,6,90.1,51.2,24.6,43,1.8,0.0,1.43,3
3,4,692.6,7.0,9,2,91.0,129.5,13.9,59,6.3,0.0,11.24,3
3,4,713.9,13.9,9,5,93.3,141.2,18.6,49,3.6,0.0,35.88,3
3,4,700.7,13.8,8,7,91.8,175.1,26.8,38,6.3,0.0,0.76,3
3,4,666.7,13.5,8,3,93.1,157.3,21.7,40,0.4,0.0,2.47,3
3,4,692.3,13.7,8,6,91.8,170.9,20.6,59,0.9,0.0,0.0,3
3,4,573.0,8.9,8,5,91.6,112.4,11.2,84,7.6,0.0,3.3,3
3,4,658.2,14.3,8,2,92.1,152.6,21.0,32,3.1,0.0,0.0,3
3,4,349.7,2.6,12,1,85.4,25.4,4.6,21,8.5,0.0,10.73,4
3,4,18.7,3.2,2,3,86.9,6.6,8.8,35,3.1,0.0,1.1,1
3,4,714.3,5.7,9,7,89.6,84.1,23.8,35,3.6,0.0,5.18,3
3,4,817.5,7.2,9,3,91.2,134.7,18.5,30,2.7,0.0,0.0,3
3,4,745.3,9.6,9,5,92.1,99.0,17.4,57,4.5,0.0,0.0,3
3,4,520.5,8.0,7,3,91.9,133.6,14.2,58,4.0,0.0,0.0,3
3,4,750.5,11.4,9,7,90.5,96.7,20.6,55,5.4,0.0,24.59,3
3,4,731.7,8.3,9,4,91.1,88.2,22.8,46,4.0,0.0,4.95,3
3,4,613.0,7.6,8,7,91.6,181.3,24.6,44,4.0,0.0,3.2,3
3,4,28.3,9.9,3,3,93.4,17.3,8.9,35,8.0,0.0,0.0,1
3,4,753.8,6.3,8,4,91.6,248.4,16.8,56,3.1,0.0,0.0,3
3,4,567.2,16.7,7,1,94.6,160.0,17.9,48,2.7,0.0,0.0,3
3,4,41.1,7.3,3,3,90.2,18.5,11.2,41,5.4,0.0,5.55,1
3,4,587.1,14.1,8,7,94.9,130.3,23.4,40,5.8,0.0,1.29,3
3,4,671.2,14.3,8,2,96.1,181.1,32.3,27,2.2,0.0,14.68,3
3,5,67.6,3.8,3,2,88.1,25.7,15.5,27,6.3,0.0,0.0,1
3,5,103.8,5.0,3,1,87.6,52.2,9.0,49,2.2,0.0,0.0,1
3,5,728.6,8.1,9,5,93.5,149.3,17.2,43,3.1,0.0,0.0,3
3,5,673.8,5.2,10,3,91.4,37.9,15.9,46,3.6,0.0,0.0,4
3,5,67.6,3.8,3,2,88.1,25.7,14.9,38,2.7,0.0,0.0,1
3,5,594.2,20.3,8,6,93.5,139.4,17.6,52,5.8,0.0,0.0,3
3,5,822.8,6.8,9,4,90.7,136.9,12.9,39,2.7,0.0,2.18,3
3,6,680.7,8.5,9,7,92.4,124.1,17.2,58,1.3,0.0,0.0,3
3,6,686.5,7.0,9,1,90.9,126.5,15.6,66,3.1,0.0,0.0,3
3,6,232.1,7.1,6,5,91.1,94.1,19.2,38,4.5,0.0,0.0,2
3,6,232.1,7.1,6,5,91.1,94.1,19.2,38,4.5,0.0,0.0,2
4,3,631.2,6.3,8,7,90.2,99.6,21.5,34,2.2,0.0,0.0,3
4,3,654.1,9.6,8,3,92.1,111.2,20.4,42,4.9,0.0,0.0,3
4,3,654.1,9.6,8,3,92.1,111.2,20.4,42,4.9,0.0,0.0,3
4,3,661.3,6.3,8,4,91.7,114.3,17.6,45,3.6,0.0,0.0,3
4,3,706.4,9.2,9,4,92.9,137.0,27.7,24,2.2,0.0,0.0,3
4,3,730.2,6.3,9,2,90.3,80.7,17.8,63,4.9,0.0,0.0,3
4,3,691.8,8.8,10,7,92.6,46.5,13.8,50,2.7,0.0,0.0,4
4,3,103.8,5.0,3,1,87.6,52.2,11.0,46,5.8,0.0,36.85,1
4,3,581.1,11.0,8,6,94.2,117.2,21.4,44,2.7,0.0,0.68,3
4,3,751.5,8.4,9,6,92.2,102.3,23.5,27,4.0,0.0,3.33,3
4,3,764.0,6.2,9,1,91.6,108.4,9.8,86,1.8,0.0,0.0,3
4,3,789.7,10.2,9,5,92.5,122.0,17.3,45,4.0,0.0,3.94,3
4,3,770.3,6.5,9,2,91.9,111.7,15.9,53,2.2,0.0,2.93,3
4,3,750.5,11.4,9,7,90.5,96.7,20.4,55,4.9,0.0,3.64,3
4,3,855.3,7.4,9,5,90.3,290.0,19.9,44,3.1,0.0,7.8,3
4,3,73.7,5.7,5,5,89.6,25.4,18.0,40,4.0,0.0,38.48,2
4,3,316.7,10.8,6,4,93.0,103.8,26.4,35,2.7,0.0,10.08,2
4,3,395.0,9.9,7,4,93.5,85.3,27.2,28,1.3,0.0,1.76,3
4,3,423.4,14.7,7,7,93.7,101.3,26.1,45,4.0,0.0,7.36,3
4,3,560.0,9.5,7,4,93.2,114.4,30.2,22,4.9,0.0,0.0,3
4,3,689.1,20.0,8,3,94.5,139.4,28.9,29,4.9,0.0,49.59,3
4,3,665.6,1.9,8,7,81.6,56.7,27.8,32,2.7,0.0,6.44,3
4,4,67.6,3.8,3,2,88.1,25.7,14.1,43,2.7,0.0,0.0,1
4,4,366.7,1.5,7,2,79.5,60.6,23.3,37,3.1,0.0,0.0,3
4,4,624.2,8.9,8,6,90.2,96.9,18.4,42,6.7,0.0,0.0,3
4,4,647.1,17.0,8,2,94.8,108.3,16.6,54,5.4,0.0,0.0,3
4,4,698.6,7.1,9,6,92.5,88.0,19.6,48,2.7,0.0,0.0,3
4,4,735.7,6.2,9,3,90.1,82.9,12.9,74,4.9,0.0,0.0,3
4,4,64.7,4.1,3,1,87.2,23.9,11.8,35,1.8,0.0,0.0,1
4,4,103.8,5.0,3,1,87.6,52.2,11.0,46,5.8,0.0,0.0,1
4,4,706.4,9.2,9,4,92.9,137.0,20.8,17,1.3,0.0,0.0,3
4,4,704.4,4.8,9,7,89.7,90.0,17.8,64,1.3,0.0,0.0,3
4,4,57.3,2.8,3,5,85.9,19.5,13.7,43,5.8,0.0,0.0,1
4,4,686.5,7.0,9,1,90.9,126.5,17.7,39,2.2,0.0,3.07,3
4,4,686.9,6.7,10,6,90.6,43.7,18.4,25,3.1,0.0,24.23,4
4,4,80.8,7.8,3,6,91.7,35.8,17.0,27,4.9,0.0,28.66,1
4,4,80.8,7.8,3,6,91.7,35.8,17.0,27,4.9,0.0,28.66,1
4,4,680.7,8.5,9,7,92.4,124.1,16.9,60,1.3,0.0,29.48,3
4,4,728.6,8.1,9,7,93.5,149.3,22.9,39,4.9,0.0,48.55,3
4,4,699.6,9.2,9,3,92.9,133.3,26.4,21,4.5,0.0,88.49,3
4,4,85.3,2.3,4,5,83.0,23.3,16.7,20,3.1,0.0,0.0,2
4,4,684.4,13.0,8,5,94.3,167.6,21.8,53,3.1,0.0,6.54,3
4,4,550.3,14.6,8,2,93.7,102.2,22.1,54,7.6,0.0,0.79,3
4,4,658.2,14.3,8,2,92.1,152.6,19.1,53,2.7,0.0,4.4,3
4,4,349.7,2.6,12,1,85.4,25.4,4.6,21,8.5,0.0,17.85,4
4,4,349.7,2.6,12,1,85.4,25.4,4.6,21,8.5,0.0,22.03,4
4,4,349.7,2.6,12,1,85.4,25.4,4.6,21,8.5,0.0,9.77,4
4,4,777.1,8.8,9,3,92.6,115.4,19.7,41,1.8,0.0,1.58,3
4,4,739.4,8.6,9,4,92.4,96.2,19.2,24,4.9,0.0,3.78,3
4,4,795.3,8.5,9,6,91.2,124.4,17.1,41,2.2,0.0,11.22,3
4,4,745.3,9.6,9,5,92.1,99.0,15.4,53,6.3,0.0,7.31,3
4,4,745.3,9.6,9,5,92.1,99.0,20.8,35,4.9,0.0,13.06,3
4,4,745.3,9.6,9,5,92.1,99.0,20.8,35,4.9,0.0,1.26,3
4,4,605.8,17.7,8,2,95.1,141.3,19.4,71,7.6,0.0,46.7,3
4,4,605.8,17.7,8,3,95.1,141.3,20.6,58,1.3,0.0,0.0,3
4,4,605.8,17.7,8,3,95.1,141.3,28.7,33,4.0,0.0,0.0,3
4,4,624.1,13.8,8,4,95.8,152.0,32.4,21,4.5,0.0,0.0,3
4,4,671.2,14.3,8,2,96.1,181.1,20.7,69,4.9,0.4,0.0,3
4,5,77.5,9.0,3,5,91.7,33.3,17.2,26,4.5,0.0,0.0,1
4,5,97.8,12.5,3,5,91.2,48.3,15.8,27,7.6,0.0,0.0,1
4,5,692.3,15.9,9,5,94.3,85.1,17.7,37,3.6,0.0,0.0,3
4,5,57.3,2.8,3,5,85.9,19.5,12.7,52,6.3,0.0,0.0,1
4,5,74.3,7.5,3,4,91.4,30.7,18.2,29,3.1,0.0,0.0,1
4,5,631.2,6.3,8,7,90.2,99.6,21.4,33,3.1,0.0,0.0,3
4,5,698.6,7.1,9,6,92.5,88.0,20.3,45,3.1,0.0,0.0,3
4,5,709.9,7.1,9,1,88.6,91.8,17.4,56,5.4,0.0,0.0,3
4,5,699.6,9.2,9,3,92.9,133.3,24.3,25,4.0,0.0,9.41,3
4,5,706.4,9.2,9,4,92.9,137.0,21.5,15,0.9,0.0,11.06,3
4,5,706.4,9.2,9,4,92.9,137.0,22.1,34,1.8,0.0,14.57,3
4,5,699.6,9.2,9,3,92.9,133.3,19.4,19,1.3,0.0,31.72,3
4,5,674.4,8.6,9,6,92.5,121.1,17.7,25,3.1,0.0,154.88,3
4,5,466.3,6.3,7,5,91.6,100.2,22.9,40,1.3,0.0,2.64,3
4,5,739.4,8.6,9,4,92.4,96.2,18.6,24,5.8,0.0,0.0,3
4,5,812.1,12.5,9,2,91.1,132.3,15.9,38,5.4,0.0,1.75,3
4,5,812.1,12.5,9,2,91.1,132.3,16.4,27,3.6,0.0,0.0,3
4,5,825.1,7.1,9,7,91.0,276.3,13.8,77,7.6,0.0,0.0,3
4,5,664.5,8.1,8,7,92.0,203.2,10.4,75,0.9,0.0,0.0,3
4,5,171.4,0.0,1,7,18.7,1.1,5.2,100,0.9,0.0,0.0,1
4,5,56.9,3.5,2,7,85.0,9.0,10.1,62,1.8,0.0,51.78,1
4,5,55.0,2.9,2,6,84.7,8.2,14.2,46,4.0,0.0,0.0,1
4,5,690.0,18.0,8,3,95.2,217.7,23.4,49,5.4,0.0,6.43,3
